作品Id,专辑名,作者,urlId,专辑链接,标签,作者主页链接,播放量,专辑集数,专辑描述,是否付费,价格,排名
19736453,快听短资讯,新华网媒体创意工场,toutiao/19736453/,https://www.ximalaya.com/toutiao/19736453/,头条,https://www.ximalaya.com/zhubo/1329228/,6604658,283,嗨！请查收立夏为您精选的短资讯快速了解和你有关的大事件~,False,,31
19992699,爆笑虫子,Larva爆笑虫子,ertong/19992699/,https://www.ximalaya.com/ertong/19992699/,儿童,https://www.ximalaya.com/zhubo/82475350/,8235011,28,全球超过180个国家和地区热播！中国主流网站全网播放超过440亿次！《爆笑虫子》Lar...,False,,32
4308484,陆家嘴财经早餐,万得资讯,toutiao/4308484/,https://www.ximalaya.com/toutiao/4308484/,头条,https://www.ximalaya.com/zhubo/46899325/,25467486,843,陆家嘴财经早餐由万得资讯倾力打造，让您在第一时间了解最全最新的财经资讯，上班...,False,,33
3062741,夜听,夜听频道,qinggan/3062741/,https://www.ximalaya.com/qinggan/3062741/,情感生活,https://www.ximalaya.com/zhubo/18463643/,154172201,741,来自夜听刘筱的晚安问候。收听更多节目，请关注刘筱主播的个人微信公众号：夜听(yetingfm)。,False,,34
6090879,适合安静看书背景纯音乐大搜罗,小柒酱的读书,yinyue/6090879/,https://www.ximalaya.com/yinyue/6090879/,音乐,https://www.ximalaya.com/zhubo/44877430/,21599585,63,新浪微博：@柒加贝多卡 微信公众号：柒加爱读会 在自己的BGM里总是无敌的，这里总...,False,,35
4256765,中国灵异恐怖鬼故事,霄旭讲故事,youshengshu/4256765/,https://www.ximalaya.com/youshengshu/4256765/,有声书,https://www.ximalaya.com/zhubo/47769994/,215995759,508,每天都会更新，喜欢的请关注，订阅吧!,False,,36
16313345,三国演义[经典评书],楼兰梵音,xiangsheng/16313345/,https://www.ximalaya.com/xiangsheng/16313345/,相声评书,https://www.ximalaya.com/zhubo/30416817/,80007955,365,"东汉末年,山河动荡,刘汉王朝气数将尽。内有十常侍颠倒黑白，祸乱朝纲。外有张氏兄弟高呼“苍天已死，黄巾当立”的口号，掀起浩大的农民起义。一时间狼烟四起，刘家朝廷宛如大厦将倾，岌岌可危。 正所谓乱世出英雄",False,,37
11830493,刘兰芳评书 |【新】岳飞传,刘兰芳百姓书场,xiangsheng/11830493/,https://www.ximalaya.com/xiangsheng/11830493/,相声评书,https://www.ximalaya.com/zhubo/1000267/,215823312,200,关注公众号【刘兰芳百姓书场】  品读刘兰芳艺术人生！ 加刘老师助理V信：LLFFans，进群互动！刘兰芳评书新岳飞传,False,,38
16917799,抢婚成爱：萌妻甜蜜蜜,璇儿是宝妈,youshengshu/16917799/,https://www.ximalaya.com/youshengshu/16917799/,有声书,https://www.ximalaya.com/zhubo/98966642/,123358178,414,夏千寻的人生理想是白天女强人，晚上玩老公。 　　只可惜，她被一个大人物抢婚了，老公太厉害，她不敢玩…… 　　老公大人无敌厉害，谁敢欺负她都被虐成渣，宠她照顾她保护她，对她不能更好。 　　只是一问他当初,False,,39
4627127,5分钟心理学,柠檬心理课堂,jiaoyu/4627127/,https://www.ximalaya.com/jiaoyu/4627127/,教育培训,https://www.ximalaya.com/zhubo/38876036/,134595954,875,教育榜排名第一，专家在这里免费给您解答！国内最大的女性心理成长公益服务平台。 了解更多、更详细的生活智慧。尽在“柠檬心理课堂”，千位心理咨询师和你零距离沟通 还有每周三节的免费,False,,40
3385980,静说日本 · 徐静波,徐静波频道,shangye/3385980/,https://www.ximalaya.com/shangye/3385980/,商业财经,https://www.ximalaya.com/zhubo/39200626/,169236817,292,最近有不少粉丝跟我留言，希望我能系统地讲一讲日本文化。文化这东西，既要讲得灵...,False,,41
11106118,宝宝巴士国学儿歌 | 唐诗三百首,宝宝巴士,ertong/11106118/,https://www.ximalaya.com/ertong/11106118/,儿童,https://www.ximalaya.com/zhubo/51763868/,56303086,184,和奇奇妙妙一起唱国学儿歌——让宝宝快乐启蒙！ 国学唱出来，好听又好记！让宝贝在潜移默化中记住唐诗、宋词、汉乐府、三字经等国学经典，和奇奇妙妙一起唱国学儿歌，领略经典的魅力！ ,False,,42
7651313,晓说2017,喜马创造,renwen/7651313/,https://www.ximalaya.com/renwen/7651313/,人文,https://www.ximalaya.com/zhubo/10936615/,1369728316,55,高晓松回归，喜马拉雅FM《晓说2017》联合独播，每周五不见不散，听矮大紧老师谈笑风生，聊超级碗、颁奖季，讲讲满是历史干货的小故事。瓜子、啤酒、小板凳，洗马君已经为各位客官备好，只等你来听。 重,False,,43
3627097,治愈系放空舒缓音乐,塔罗师Tracy,yinyue/3627097/,https://www.ximalaya.com/yinyue/3627097/,音乐,https://www.ximalaya.com/zhubo/27263450/,63760003,982,最近经常出现审核是否通过的情况 更新时间会有延迟 望见谅~ 在世界的不同角落 我和...,False,,44
12580759,封面早报,封面新闻,toutiao/12580759/,https://www.ximalaya.com/toutiao/12580759/,头条,https://www.ximalaya.com/zhubo/102403331/,5667429,350,每天早上听新闻，这里是封面新闻推出的封面早报。,False,,45
10985670,昏婚欲睡（多人小说剧）,君颜讲故事,youshengshu/10985670/,https://www.ximalaya.com/youshengshu/10985670/,有声书,https://www.ximalaya.com/zhubo/37504890/,318510763,523,【内容简介】 六年前—— 她说：“给我一百万，我让你要个够！” 他将她抵在墙壁上：“秦暮楚，我们之间彻底玩完了！” 六年后，再次重逢—— 他压她在床，“一百万的交易，该是时候连本带利的讨回来了！”,False,,46
15178503,霸道总裁诱妻上瘾 【双播】,念萧燃是丶御姊燃,youshengshu/15178503/,https://www.ximalaya.com/youshengshu/15178503/,有声书,https://www.ximalaya.com/zhubo/23012470/,95453046,465,【强烈推荐】强力女主~·【 霸道总裁 】等你来撩....，【 宠妻无度 】谁说总裁...,False,,47
13396678,易中天品三国,百家讲坛,lishi/13396678/,https://www.ximalaya.com/lishi/13396678/,历史,https://www.ximalaya.com/zhubo/1000072/,51361299,51,听更多请搜《中国通史大师课》 三国是一个风云变幻、沧海横流、英雄辈出、令人神往的时代，不知多少盖世英雄在那里大显身手，叱咤风云，正可谓江山如画，一时多少豪杰。曹操就是其中一位影响历史进程的,False,,48
18255128,英语三分钟,Eva英语开口说,waiyu/18255128/,https://www.ximalaya.com/waiyu/18255128/,外语,https://www.ximalaya.com/zhubo/127946297/,16219279,91,周一到周五早上7点 我们不见不散 英语学习方法讨论，可加wei信eva1694，有时间会回复大家,False,,49
3048185,365读书|精选美文,365读书,renwen/3048185/,https://www.ximalaya.com/renwen/3048185/,人文,https://www.ximalaya.com/zhubo/33785482/,179319683,1079,    读书，可能解决不了你当下遇到的问题，但却可以给你一个思考的方向。每天用...,False,,50
